17.67%,,,,,,,,,,,,,,,,,,,,,
PWG,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
44066,0.205,0.205,0.205,0.213,0.213,0.213,0.213,0.213,0.203,0.213,0.213,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.078,21.16%,0.1612083333
ATLANTICCITYINNJ,0.027,0.041,0.041,0.014,0,0.027,0.014,0.078,0.113,0.03,0.06,0.137,0.127,0.15,0.127,0.137,0.16,0.162,0.469,10.63%,
Texas Tower #4 - 75,0.112,0.081,0.081,0.081,0.081,0.081,0.081,0.08,0.117,0.111,0.08,0.086,0.122,0.122,0.122,0.085,0.085,0.079,0.39,11.54%,
Nick,0.388,0.316,0.101,0.162,0.081,0.354,0.356,0.381,0.157,0.304,0.49,0.157,0.213,0.228,0.197,0.213,0.228,0.244,0.181,26.39%,0.1618888889
ISP,0.138,0.042,0.156,0.138,0.138,0.172,0.154,0.087,0.154,0.103,0.119,0.154,0.154,0.187,0.169,0.187,0.228,0.185,1.507,23.18%,
BLOCKISLANDRI,0.205,0.205,0.205,0.213,0.213,0.213,0.213,0.213,0.203,0.213,0.213,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.078,21.16%,0.2216666667
BEST at (TIME),2.70%,2.70%,2.70%,1.40%,0.00%,0.90%,0.00%,0.00%,0.90%,0.90%,0.00%,0.00%,1.50%,1.30%,2.60%,3.50%,0.70%,1.90%,1.60%,17.67%,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PWE,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
W29,0.559,0.714,0.445,0.145,0.255,0.4,0.73,0.741,0.138,0.362,0.56,0.534,0.552,0.614,0.576,0.638,0.69,0.707,0.228,53.27%,
TPLM2,0.64,0.619,0.6,0.512,0.387,0.35,0.481,0.697,0.809,0.773,0.767,0.763,0.756,0.733,0.725,0.702,0.695,0.695,0.695,68.88%,
"Gooses Reef, MD",0.045,0.182,0.391,0.73,0.91,0.55,0.274,0.035,,0.225,0.283,0.441,0.5,0.473,0.482,0.673,0.609,0.536,0.619,44.21%,
NHK,0.089,0.194,0.269,0.008,0,0.443,0.462,0.523,,0.632,0.582,0.674,0.66,0.674,0.667,0.653,0.646,0.639,0.144,44.22%,
"Bishops Head, MD",0.64,0.619,0.6,0.512,0.387,0.35,0.481,0.697,0.809,0.773,0.767,0.763,0.756,0.733,0.725,0.702,0.695,0.695,0.695,68.88%,
"Potomac, MD",0.282,0.347,0.331,0.363,0.336,0.344,0.352,0.317,0.29,0.2,0.077,0.21,0.12,0.016,0.032,0,0.033,0.056,0.717,24.57%,
TGI,0.112,0.272,0.272,0.288,0.256,0.262,0.262,0.238,0.52,0.224,0.216,0.628,0.505,0.525,0.613,0.484,0.34,0.139,0.11,34.81%,
Rappahannock Light,0.087,0.087,0.114,0.149,0.379,0.36,0.103,0.478,0.606,0.373,0.333,0.783,0.781,0.756,0.755,0.589,0.732,0.73,0.665,49.22%,
"Kiptopeke, VA",1,1.521,0.812,0.25,0.156,0.211,0.261,0.08,0.813,0.345,0.314,0.435,0.424,0.468,0.439,0.468,0.511,0.511,0.099,50.66%,
Chesapeake Bay,0.559,0.714,0.445,0.145,0.255,0.4,0.73,0.741,0.138,0.362,0.56,0.534,0.552,0.614,0.576,0.638,0.69,0.707,0.228,53.27%,
"Wachapreague, VA",0.394,0.358,0.336,0.255,0.239,0.116,0.203,0.526,0.674,0.728,0.722,0.73,0.748,0.739,0.743,0.748,0.757,0.757,0.774,58.59%,
DELAWARE BAY 26,0.64,0.619,0.6,0.512,0.387,0.35,0.481,0.697,0.809,0.773,0.767,0.763,0.756,0.733,0.725,0.702,0.695,0.695,0.695,68.88%,
44066,0.64,0.619,0.6,0.512,0.387,0.35,0.481,0.697,0.809,0.773,0.767,0.763,0.756,0.733,0.725,0.702,0.695,0.695,0.695,68.88%,
ATLANTICCITYINNJ,0.559,0.714,0.445,0.145,0.255,0.4,0.73,0.741,0.138,0.362,0.56,0.534,0.552,0.614,0.576,0.638,0.69,0.707,0.228,53.27%,
Texas Tower #4 - 75,0.394,0.358,0.336,0.255,0.239,0.116,0.203,0.526,0.674,0.728,0.722,0.73,0.748,0.739,0.743,0.748,0.757,0.757,0.774,58.59%,
Nick,0.068,0.03,0.076,0.129,0.068,0.014,0.02,0.485,0.081,0.485,0.548,0.037,0.059,0.103,0.162,0.228,0.213,0.243,0.207,18.09%,
ISP,0.64,0.14,0.129,0.172,0.118,0.723,0.591,0.643,0.216,0.095,0.229,0.588,0.569,0.549,0.627,0.725,0.686,0.725,1.137,51.68%,
BLOCKISLANDRI,0.068,0.619,0.6,0.512,0.387,0.35,0.481,0.697,0.809,0.773,0.767,0.763,0.756,0.733,0.725,0.702,0.695,0.695,0.695,65.71%,
BEST at (TIME),4.50%,3.00%,7.60%,0.80%,0.00%,1.40%,2.00%,3.50%,8.10%,9.50%,7.70%,3.70%,5.90%,1.60%,3.20%,0.00%,3.30%,5.60%,9.90%,51.98%,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ECMWF,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
W29,0.36,0.373,0.312,0.442,0.39,0.403,0.364,0.422,0.743,0.013,0.096,0.596,0.612,0.667,0.672,0.361,0.153,0.153,0.661,43.29%,
TPLM2,0.287,0.267,0.238,0.208,0.188,0.178,0.178,0.178,0.322,0.168,0.158,0.289,0.233,0.078,0.067,0.122,0.044,0.033,0.511,20.82%,
"Gooses Reef, MD",0.348,0.413,0.478,0.558,0.638,0.719,0.504,0.288,0.206,0.056,0.061,0.336,0.299,0.252,0.215,0.196,0.187,0.178,0.565,36.09%,
NHK,0.097,0.081,0.073,0.048,0.024,0.008,0.073,0.008,0.202,0.024,0.152,0.069,0.046,0.035,0.017,0.069,0.133,0.173,0.3,9.07%,
"Bishops Head, MD",0.287,0.267,0.238,0.208,0.188,0.178,0.178,0.178,0.322,0.168,0.158,0.289,0.233,0.078,0.067,0.122,0.044,0.033,0.511,20.82%,
"Potomac, MD",0.073,0.092,0.119,0.092,0.046,0.037,0.009,0.009,0.018,0.027,0.054,0.037,0.019,0.165,0.144,0.119,0.037,0.096,0.037,6.83%,
TGI,0.192,0.134,0.088,0.061,0.07,0.018,0.101,0.084,0.05,0.035,0.052,0.008,0.042,0.075,0.225,0.208,0.258,0.267,0.008,10.98%,
Rappahannock Light,0.402,0.374,0.218,0.193,0.168,0.259,0.172,0.155,1.509,0.092,0.121,1.633,1.377,1.642,1.939,1.275,0.157,0.208,1.528,74.57%,
"Kiptopeke, VA",0.204,0.11,0.099,0.223,0.022,0.027,0.022,0.181,0.46,0.458,0.933,0.573,0.567,0.02,0.45,0.396,0.331,0.318,0.035,30.16%,
Chesapeake Bay,0.36,0.373,0.312,0.442,0.39,0.403,0.364,0.422,0.743,0.013,0.096,0.596,0.612,0.667,0.672,0.361,0.153,0.153,0.661,43.29%,
"Wachapreague, VA",0.206,0.206,0.201,0.195,0.208,0.208,0.208,0.208,0.236,0.214,0.171,0.224,0.23,0.236,0.242,0.255,0.255,0.206,0.279,23.27%,
DELAWARE BAY 26,0.287,0.267,0.238,0.208,0.188,0.178,0.178,0.178,0.322,0.168,0.158,0.289,0.233,0.078,0.067,0.122,0.044,0.033,0.511,20.82%,
44066,0.287,0.267,0.238,0.208,0.188,0.178,0.178,0.178,0.322,0.168,0.158,0.289,0.233,0.078,0.067,0.122,0.044,0.033,0.511,20.82%,
ATLANTICCITYINNJ,0.36,0.373,0.312,0.442,0.39,0.403,0.364,0.422,0.743,0.013,0.096,0.596,0.612,0.667,0.672,0.361,0.153,0.153,0.661,43.29%,
Texas Tower #4 - 75,0.206,0.206,0.201,0.195,0.208,0.208,0.208,0.208,0.236,0.214,0.171,0.224,0.23,0.236,0.242,0.255,0.255,0.206,0.279,23.27%,
Nick,0.009,0.009,0.055,0.027,0.009,0.018,0.028,0.018,0.134,0.14,0.148,0.037,0.075,0.149,0.172,0.142,0.119,0.119,0.205,8.96%,
ISP,0.094,0.078,0.016,0.047,0.125,1.156,1.156,1.048,0.598,1.206,0.226,0.586,0.476,0.488,0.81,0.023,0.071,0.011,0.557,48.73%,
BLOCKISLANDRI,0.287,0.267,0.238,0.208,0.188,0.178,0.178,0.178,0.322,0.168,0.158,0.289,0.233,0.078,0.067,0.122,0.044,0.033,0.511,20.82%,
BEST at (TIME),0.90%,0.90%,1.60%,2.70%,0.90%,0.80%,0.90%,0.80%,1.80%,1.30%,5.20%,0.80%,1.90%,2.00%,1.70%,2.30%,3.70%,1.10%,0.80%,28.11%,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GFS,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
W29,0.3,0.186,0.217,0.386,0.362,0.886,1.357,1.457,0.467,1.629,1.274,0.496,0.467,0.488,0.364,0.281,0.364,0.339,0.431,65.28%,
TPLM2,0.326,0.424,0.396,0.34,0.278,0.194,0.111,0.097,0.031,0.076,0.117,0.053,0.076,0.084,0.092,0.107,0.107,0.115,0.13,17.52%,
"Gooses Reef, MD",0.392,0.44,0.48,0.556,0.619,0.69,0.452,0.222,0.113,0.047,0.085,0.278,0.27,0.261,0.243,0.2,0.157,0.113,0.179,32.21%,
NHK,0.085,0.277,0.292,0.043,0.267,0.22,0.127,0.018,0.217,0.153,0.139,0.213,0.23,0.276,0.249,0.258,0.373,0.373,0.431,23.56%,
"Bishops Head, MD",0.326,0.424,0.396,0.34,0.278,0.194,0.111,0.097,0.031,0.076,0.117,0.053,0.076,0.084,0.092,0.107,0.107,0.115,0.13,17.52%,
"Potomac, MD",0.322,0.368,0.289,0.263,0.211,0.017,0.148,0.139,0.112,0.051,0.033,0.052,0.034,0.19,0.238,0.133,0.21,0.21,0.578,19.99%,
TGI,0.268,0.197,0.102,0.024,0,0.118,0.117,0.102,0.187,0.168,0.143,0.154,0.138,0.138,0.138,0.041,0.016,0.033,0.164,12.49%,
Rappahannock Light,0.149,0.199,0.444,0.576,0.709,0.742,0.735,0.792,0.593,0.853,0.881,0.102,0.056,0.093,0.13,0.148,0.185,0.185,1.263,49.08%,
"Kiptopeke, VA",0.377,0.402,0.513,0.487,0.536,0.545,0.592,0.568,0.022,0.441,0.152,0.078,0.189,0.258,0.223,0.255,0.117,0.255,0.056,33.70%,
Chesapeake Bay,0.3,0.186,0.217,0.386,0.362,0.886,1.357,1.457,0.467,1.629,1.274,0.496,0.467,0.488,0.364,0.281,0.364,0.339,0.431,65.28%,
"Wachapreague, VA",0.252,0.261,0.277,0.277,0.252,0.227,0.193,0.193,0.117,0.168,0.161,0.147,0.129,0.123,0.117,0.098,0.104,0.092,0.25,19.10%,
DELAWARE BAY 26,0.326,0.424,0.396,0.34,0.278,0.194,0.111,0.097,0.031,0.076,0.117,0.053,0.076,0.084,0.092,0.107,0.107,0.115,0.13,17.52%,
44066,0.326,0.424,0.396,0.34,0.278,0.194,0.111,0.097,0.031,0.076,0.117,0.053,0.076,0.084,0.092,0.107,0.107,0.115,0.13,17.52%,
ATLANTICCITYINNJ,0.3,0.186,0.217,0.386,0.362,0.886,1.357,1.457,0.467,1.629,1.274,0.496,0.467,0.488,0.364,0.281,0.364,0.339,0.431,65.28%,
Texas Tower #4 - 75,0.252,0.261,0.277,0.277,0.252,0.227,0.193,0.193,0.117,0.168,0.161,0.147,0.129,0.123,0.117,0.098,0.104,0.092,0.25,19.10%,
Nick,0.265,0.221,0.106,0.085,0.027,0.052,0.052,0.018,0.018,0.035,0.009,0.018,0.028,0.009,0.055,0.092,0.138,0.165,0.111,8.36%,
ISP,0.418,0.06,0.537,0.082,0.08,0.102,0.6,1.474,1.141,1.118,2.822,1.549,1.606,1.507,1.479,1.466,1.432,1.419,0.13,105.68%,
BLOCKISLANDRI,0.326,0.424,0.396,0.34,0.278,0.194,0.111,0.097,0.031,0.076,0.117,0.053,0.076,0.084,0.092,0.107,0.107,0.115,0.511,19.64%,
BEST at (TIME),8.50%,6.00%,10.20%,2.40%,0.00%,1.70%,5.20%,1.80%,1.80%,3.50%,0.90%,1.80%,2.80%,0.90%,5.50%,4.10%,1.60%,3.30%,5.60%,33.82%,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SPIRE,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
W29,0.551,0.755,0.776,0.551,0.833,0.851,0.851,0.54,0.497,0.625,0.475,0.484,0.425,0.464,0.405,0.346,0.307,0.288,0.634,59.21%,
TPLM2,0.356,0.356,0.356,0.356,0.365,0.356,0.356,0.365,0.175,0.365,0.353,0.175,0.165,0.165,0.19,0.228,0.253,0.266,0.053,29.19%,
"Gooses Reef, MD",0.311,0.361,0.445,0.58,0.742,0.733,0.521,0.207,0.2,0.024,0.03,0.358,0.305,0.284,0.232,0.232,0.168,0.211,0.667,36.73%,
NHK,0.094,0.094,0.074,0.039,0.062,0.078,0.175,0.142,0.167,0.377,0.408,0.017,0.039,0.033,0.022,0.011,0.006,0.006,0.412,12.53%,
"Bishops Head, MD",0.356,0.356,0.356,0.356,0.365,0.356,0.356,0.365,0.175,0.365,0.353,0.175,0.165,0.165,0.19,0.228,0.253,0.266,0.053,29.19%,
"Potomac, MD",0.027,0.009,0.027,0.036,0.063,0.108,0.071,0.089,0.028,0.097,0.021,0.038,0.028,0.066,0.009,0.019,0.029,0.048,0.121,5.19%,
TGI,0.096,0.195,0.059,0.163,0.093,0.134,0.035,0.009,0.034,0.008,0.008,0.103,0.051,0.034,0.042,0,0.087,0.076,0.096,7.35%,
Rappahannock Light,0.333,0.358,0.4,0.379,0.413,0.372,0.365,0.489,0.489,0.313,0.375,0.489,0.884,0.46,0.149,0.011,0.091,0.295,0.306,38.73%,
"Kiptopeke, VA",0.041,0.014,0.007,0.014,0.014,0.156,0.143,0.061,0.387,0.32,0.071,0.83,0.766,0.862,0.358,0.653,0.734,0.583,0.252,34.81%,
Chesapeake Bay,0.551,0.755,0.776,0.551,0.833,0.851,0.851,0.54,0.497,0.625,0.475,0.484,0.425,0.464,0.405,0.346,0.307,0.288,0.634,59.21%,
"Wachapreague, VA",0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.307,0.331,0.331,0.307,0.307,0.307,0.307,0.277,0.248,0.234,0.314,32.66%,
DELAWARE BAY 26,0.356,0.356,0.356,0.356,0.365,0.356,0.356,0.365,0.175,0.365,0.353,0.175,0.165,0.165,0.19,0.228,0.253,0.266,0.053,29.19%,
44066,0.356,0.356,0.356,0.356,0.365,0.356,0.356,0.365,0.175,0.365,0.353,0.175,0.165,0.165,0.19,0.228,0.253,0.266,0.053,29.19%,
ATLANTICCITYINNJ,0.551,0.755,0.776,0.551,0.833,0.851,0.851,0.54,0.497,0.625,0.475,0.484,0.425,0.464,0.405,0.346,0.307,0.288,0.634,59.21%,
Texas Tower #4 - 75,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.307,0.331,0.331,0.307,0.307,0.307,0.307,0.277,0.248,0.234,0.314,32.66%,
Nick,0.011,0.053,0.074,0.053,0.064,0.074,0.108,0.118,0.054,0.133,0.122,0.018,0.009,0,0.018,0.036,0.045,0.081,0.155,6.81%,
ISP,0.033,0.374,0.205,0.179,0.33,0.354,0.34,0.232,0.589,0.122,0.058,0.5,0.434,0.503,0.491,0.453,0.415,0.431,0.783,37.92%,
BLOCKISLANDRI,0.356,0.356,0.356,0.356,0.365,0.356,0.356,0.365,0.175,0.365,0.353,0.175,0.165,0.165,0.19,0.228,0.253,0.266,0.053,29.19%,
BEST at (TIME),1.10%,0.90%,0.70%,1.40%,1.40%,7.40%,3.50%,0.90%,2.80%,0.80%,0.80%,1.70%,0.90%,0.00%,0.90%,0.00%,0.60%,0.60%,5.30%,31.61%,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
UKMO,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
W29,0.465,0.444,0.431,0.41,0.368,0.34,0.301,0.354,0.358,0.095,0.302,0.291,0.27,0.23,0.196,0.142,0.115,0.101,0.507,31.78%,
TPLM2,0.251,0.246,0.246,0.246,0.24,0.24,0.24,0.24,0.24,0.235,0.235,0.23,0.224,0.213,0.208,0.224,0.24,0.246,0.142,24.37%,
"Gooses Reef, MD",0.204,0.392,0.515,0.639,0.742,0.792,0.531,0.147,0.05,0.077,0.117,0.088,0.149,0.198,0.158,0.158,0.198,0.089,0.383,31.26%,
NHK,0.696,0.099,0.315,0.225,0.416,0.318,0.232,0.474,0.014,0.264,0.337,0.12,0.029,0.06,0.067,0.107,0.107,0.1,0.035,22.31%,
"Bishops Head, MD",0.251,0.246,0.246,0.246,0.24,0.24,0.24,0.24,0.24,0.235,0.235,0.23,0.224,0.213,0.208,0.224,0.24,0.246,0.142,24.37%,
"Potomac, MD",0.138,0.086,0.017,0.017,0.017,0.026,0.06,0.069,0.033,0.051,0.067,0.033,0.041,0.058,0.058,0.083,0.083,0.083,0.365,7.69%,
TGI,0.054,0.217,0.29,0.304,0.28,0.355,0.315,0.171,0.184,0.322,0.158,0.17,0.143,0.061,0.061,0.027,0.176,0.007,0.166,19.23%,
Rappahannock Light,1.86,1.765,1.78,1.706,1.915,1.755,1.833,1.776,1.213,1.83,1.509,1.197,1.098,1.016,0.869,0.41,0.113,0.403,0.113,134.23%,
"Kiptopeke, VA",0.213,0.163,0.191,0.163,0.14,0.226,0.234,0.223,0.311,0.239,0.242,0.16,0.255,0.274,0.264,0.311,0.343,0.321,0.265,25.21%,
Chesapeake Bay,0.465,0.444,0.431,0.41,0.368,0.34,0.301,0.354,0.358,0.095,0.302,0.291,0.27,0.23,0.196,0.142,0.115,0.101,0.507,31.78%,
"Wachapreague, VA",0.182,0.177,0.172,0.167,0.167,0.161,0.161,0.161,0.183,0.161,0.165,0.173,0.168,0.147,0.112,0.051,0.025,0.025,0.33,16.04%,
DELAWARE BAY 26,0.251,0.246,0.246,0.246,0.24,0.24,0.24,0.24,0.24,0.235,0.235,0.23,0.224,0.213,0.208,0.224,0.24,0.246,0.142,24.37%,
44066,0.251,0.246,0.246,0.246,0.24,0.24,0.24,0.24,0.24,0.235,0.235,0.23,0.224,0.213,0.208,0.224,0.24,0.246,0.142,24.37%,
ATLANTICCITYINNJ,0.465,0.444,0.431,0.41,0.368,0.34,0.301,0.354,0.358,0.095,0.302,0.291,0.27,0.23,0.196,0.142,0.115,0.101,0.507,31.78%,
Texas Tower #4 - 75,0.182,0.177,0.172,0.167,0.167,0.161,0.161,0.161,0.183,0.161,0.165,0.173,0.168,0.147,0.112,0.051,0.025,0.025,0.33,16.04%,
Nick,0.113,0.105,0.06,0.06,0.06,0.06,0.06,0.075,0.126,0.015,0.014,0.143,0.16,0.185,0.235,0.378,0.364,0.331,0.167,15.06%,
ISP,0.251,0.236,0.041,0.069,0.083,0.139,0.162,0.159,0.025,0.214,0.211,0.139,0.208,0.299,0.455,0.474,0.636,0.737,0.198,26.31%,
BLOCKISLANDRI,0.356,0.246,0.246,0.246,0.24,0.24,0.24,0.24,0.24,0.235,0.235,0.23,0.224,0.213,0.208,0.224,0.24,0.246,0.142,24.95%,
BEST at (TIME),5.40%,8.60%,1.70%,1.70%,1.70%,2.60%,6.00%,6.90%,1.40%,1.50%,1.40%,3.30%,2.90%,5.80%,5.80%,2.70%,2.50%,0.70%,3.50%,29.51%,
